cut,esn0,seeds,cw_decoded,cw_total,frac_decoded,mean_BER,mean_itermean
off,15.0,16,31,96,0.3229,0.01399,74.364
off,15.25,16,77,96,0.8021,0.00368,31.302
off,15.5,16,91,96,0.9479,0.00087,13.552
15,15.0,16,31,96,0.3229,0.01399,74.364
15,15.25,16,77,96,0.8021,0.00368,31.302
15,15.5,16,91,96,0.9479,0.00087,13.552
13,15.0,16,31,96,0.3229,0.01399,74.364
13,15.25,16,77,96,0.8021,0.00368,31.302
13,15.5,16,91,96,0.9479,0.00087,13.552
12,15.0,16,31,96,0.3229,0.01399,74.364
12,15.25,16,77,96,0.8021,0.00368,31.302
12,15.5,16,91,96,0.9479,0.00087,13.552
11,15.0,16,31,96,0.3229,0.01399,74.364
11,15.25,16,77,96,0.8021,0.00368,31.302
11,15.5,16,91,96,0.9479,0.00087,13.552
10,15.0,16,31,96,0.3229,0.01397,74.364
10,15.25,16,77,96,0.8021,0.00370,31.312
10,15.5,16,91,96,0.9479,0.00087,13.552
9,15.0,16,32,96,0.3333,0.01389,74.000
9,15.25,16,77,96,0.8021,0.00373,31.917
9,15.5,16,91,96,0.9479,0.00080,13.500
8,15.0,16,29,96,0.3021,0.01465,76.187
8,15.25,16,72,96,0.7500,0.00480,35.406
8,15.5,16,90,96,0.9375,0.00086,14.135
7,15.0,16,23,96,0.2396,0.01730,80.594
7,15.25,16,62,96,0.6458,0.00722,43.646
7,15.5,16,86,96,0.8958,0.00165,18.864
